ZT0_1	ZT4_1	ZT8_1	ZT12_1	ZT16_1	ZT20_1	ZT0_2	ZT4_2	ZT8_2	ZT12_2	ZT16_2	ZT20_2	ZT0_3	ZT4_3	ZT8_3	ZT12_3	ZT16_3	ZT20_3
uriolide	7.39240942575281	7.86343239353145	5.77428368853485	5.80553973377212	7.54076511380912	7.86933772487544	7.91639478835589	7.22091459314055	6.62816281628163	7.49779717628737	7.50347287014576	7.58581285984266	7.0307313416854	7.02527924750147	6.62737799834574	6.59871133486647	6.67011268479272	7.59176735425185
neoxanthin	13.6346013009951	15.0495300990602	12.8706677232348	12.682741598633	13.2405922655615	14.1814846469742	15.3844534719737	13.4477975790182	11.976389946687	11.604270404295	12.8734631253758	12.9916934030677	14.2263625655852	12.8558830939783	11.9106699751861	11.2292042182029	12.4387470278094	12.1927688703083
prasinoxanthin	29.0828415112222	29.9678266023199	25.313842432331	26.2346265004325	27.8764655657136	29.2614287798879	29.2912921762192	26.4143409549428	25.9456714902259	27.3416528349829	29.1845493562232	30.6926559135059	28.9110183103116	26.5096161921559	26.1455748552523	27.4991194812191	29.4593197560219	32.7192539164791
violaxanthin	18.3022444319993	18.0890695114724	3.54714935146182	4.93428685948147	11.0560403173744	14.6859560984762	18.0239533562062	6.09658708809684	3.23051535922823	4.71711645253171	12.4111048910452	14.6749879136817	20.4390191669344	5.07894515831024	2.45037220843672	5.71612074502248	10.1271580688514	11.1476087655625
micromonal	5.67354499633826	6.00499534332402	5.97030487550569	5.48277535177099	5.30831545846436	5.64716182693711	5.71049695847103	5.27908540685945	5.18109503258018	4.82367164607283	5.13570110509838	5.57508899925284	5.33033515365671	5.15663055345595	4.95244003308519	4.16433588165828	4.96433371239533	5.68750861395691
antheraxanthin	6.30250290785336	4.23545847091694	19.9357717812904	17.1972238044006	12.5866844374102	7.73592378728815	4.90643878002063	18.1657700067249	20.1764407209952	17.4504620806951	11.113184466422	6.7749307783589	5.31748581218546	19.440245233896	20.6389578163772	16.2367663206746	14.2396361004859	11.2739468002021
zeaxanthin	6.33912032051006	4.96147658961985	9.3881636568378	10.0879691158787	8.11345509069327	6.68737362156303	5.98623418720663	6.69973100201749	10.4679698739105	11.4403393373087	8.42404262818519	7.39023425482354	6.22550594282043	8.16326530612245	11.9106699751861	12.6463215033045	9.91419414866122	9.67519639821749
dihydrolutein	7.63149959074656	8.1004995343324	7.74492221712474	7.3138830875683	7.74068597846686	7.49619561818599	7.33124250142078	8.42299932750504	7.06397562833206	6.13102190528883	7.19454292882171	7.39243176723949	6.84441589035229	7.54178214495675	6.26964433416046	5.86321917666315	6.03949136772459	5.26714751688336
a-carotene	0.880971869211218	0.84243501820337	0.506735621637402	0.79319874269561	0.862158728836502	0.848429259344187	0.736702519522617	0.783876933422999	0.844122873825844	0.688510481342596	0.823122058427153	1.21742187843361	0.813791626512474	0.858738557151256	0.593465674110835	0.567675637599188	1.24056652537992	1.01529838746727
b-carotene	4.76026364537113	4.88527643721954	5.52821453893314	6.3202750880746	5.67483704367021	5.58670863646787	4.71279126060325	5.39887357094822	5.38207666920538	5.64127784266716	5.33681657025564	5.70474223179361	4.8613341899561	5.45057529184513	5.32258064516129	5.69333084716266	4.9064406078776	3.42950337667111
lutein	0	0	3.4199441131084	3.14748011729215	0	0	0	2.07002353732347	3.1035795887281	2.6638798385279	0	0	0	1.91903922062652	3.1782464846981	3.7851948536267	0	0
