sample	group
zt0_1	zt0
zt0_2	zt0
zt0_3	zt0
zt0_4	zt0
zt0_5	zt0
zt0_6	zt0
zt0_7	zt0
zt0_8	zt0
zt0_9	zt0
zt4_1	zt4
zt4_2	zt4
zt4_3	zt4
zt4_4	zt4
zt4_5	zt4
zt4_6	zt4
zt4_7	zt4
zt4_8	zt4
zt4_9	zt4
zt8_1	zt8
zt8_2	zt8
zt8_3	zt8
zt8_4	zt8
zt8_5	zt8
zt8_6	zt8
zt8_7	zt8
zt8_8	zt8
zt8_9	zt8
zt12_1	zt12
zt12_2	zt12
zt12_3	zt12
zt12_4	zt12
zt12_5	zt12
zt12_6	zt12
zt12_7	zt12
zt12_8	zt12
zt12_9	zt12
zt16_1	zt16
zt16_2	zt16
zt16_3	zt16
zt16_4	zt16
zt16_5	zt16
zt16_6	zt16
zt16_7	zt16
zt16_8	zt16
zt16_9	zt16
zt20_1	zt20
zt20_2	zt20
zt20_3	zt20
zt20_4	zt20
zt20_5	zt20
zt20_6	zt20
zt20_7	zt20
zt20_8	zt20
zt20_9	zt20
